# How often each 6-group pattern occurred (sorted by count descending)
# g1-g6: decade group (0-4) for each of the 6 drawn numbers in ascending order
g1	g2	g3	g4	g5	g6	count	probability
0	0	0	2	3	4	21	0.007969639468690701
0	1	2	2	2	4	21	0.007969639468690701
1	1	2	2	4	4	20	0.007590132827324478
0	1	3	3	3	4	20	0.007590132827324478
0	1	1	1	3	4	20	0.007590132827324478
0	0	0	1	2	3	20	0.007590132827324478
0	0	2	2	3	3	19	0.007210626185958254
0	2	3	4	4	4	17	0.0064516129032258064
0	0	3	3	4	4	17	0.0064516129032258064
0	1	2	2	2	3	16	0.0060721062618595825
0	2	3	3	4	4	16	0.0060721062618595825
0	0	1	1	3	3	16	0.0060721062618595825
0	0	1	2	3	3	15	0.0056925996204933585
1	1	3	3	4	4	15	0.0056925996204933585
0	0	1	1	1	3	14	0.005313092979127135
2	2	2	3	4	4	14	0.005313092979127135
0	0	1	2	2	2	14	0.005313092979127135
1	1	2	4	4	4	14	0.005313092979127135
1	1	1	2	3	3	14	0.005313092979127135
0	1	1	3	3	3	14	0.005313092979127135
2	2	3	3	4	4	14	0.005313092979127135
0	2	2	2	3	4	13	0.004933586337760911
0	0	2	4	4	4	13	0.004933586337760911
0	3	3	3	4	4	13	0.004933586337760911
0	0	0	1	1	4	13	0.004933586337760911
0	2	2	2	3	3	13	0.004933586337760911
1	1	1	2	2	4	13	0.004933586337760911
2	2	3	4	4	4	12	0.004554079696394687
0	2	2	2	4	4	12	0.004554079696394687
1	1	3	4	4	4	12	0.004554079696394687
2	2	2	3	3	4	12	0.004554079696394687
1	1	1	2	4	4	12	0.004554079696394687
0	1	3	4	4	4	12	0.004554079696394687
0	0	0	1	4	4	12	0.004554079696394687
0	1	1	1	2	3	12	0.004554079696394687
0	0	1	1	1	2	11	0.004174573055028463
1	2	2	3	3	3	11	0.004174573055028463
1	1	1	3	4	4	11	0.004174573055028463
0	0	2	3	3	3	11	0.004174573055028463
0	0	0	2	2	3	11	0.004174573055028463
2	2	3	3	3	4	10	0.003795066413662239
0	0	3	4	4	4	10	0.003795066413662239
0	1	1	1	4	4	10	0.003795066413662239
0	0	0	1	3	4	9	0.003415559772296015
1	1	2	2	2	4	9	0.003415559772296015
0	0	1	1	4	4	9	0.003415559772296015
0	0	0	3	4	4	9	0.003415559772296015
1	3	3	4	4	4	9	0.003415559772296015
0	2	2	4	4	4	9	0.003415559772296015
0	0	0	2	4	4	9	0.003415559772296015
2	3	3	3	3	4	8	0.0030360531309297912
1	1	2	3	3	3	8	0.0030360531309297912
1	2	2	2	4	4	8	0.0030360531309297912
0	2	2	2	2	4	8	0.0030360531309297912
0	1	1	1	2	2	8	0.0030360531309297912
1	2	2	4	4	4	8	0.0030360531309297912
0	0	0	2	3	3	8	0.0030360531309297912
0	0	0	1	3	3	8	0.0030360531309297912
0	0	2	2	2	3	8	0.0030360531309297912
1	1	3	3	3	4	8	0.0030360531309297912
1	3	3	3	4	4	7	0.0026565464895635673
0	2	2	3	3	3	7	0.0026565464895635673
1	1	1	2	2	3	7	0.0026565464895635673
0	0	1	3	3	3	7	0.0026565464895635673
0	0	0	3	3	4	7	0.0026565464895635673
2	3	3	4	4	4	7	0.0026565464895635673
2	3	3	3	4	4	7	0.0026565464895635673
1	2	2	2	3	3	7	0.0026565464895635673
0	0	1	1	2	2	7	0.0026565464895635673
0	1	1	1	3	3	7	0.0026565464895635673
1	1	2	2	2	3	7	0.0026565464895635673
0	1	3	3	3	3	6	0.0022770398481973433
0	0	0	1	1	3	6	0.0022770398481973433
0	3	3	4	4	4	6	0.0022770398481973433
0	0	0	2	2	4	6	0.0022770398481973433
0	0	0	1	1	2	6	0.0022770398481973433
0	0	1	4	4	4	6	0.0022770398481973433
1	2	2	2	2	4	6	0.0022770398481973433
0	0	1	1	1	4	6	0.0022770398481973433
0	0	2	2	2	4	6	0.0022770398481973433
0	2	2	2	2	3	6	0.0022770398481973433
0	1	1	2	2	2	6	0.0022770398481973433
0	3	4	4	4	4	5	0.0018975332068311196
2	3	4	4	4	4	5	0.0018975332068311196
1	1	1	1	2	3	5	0.0018975332068311196
0	1	1	1	1	3	5	0.0018975332068311196
0	2	4	4	4	4	5	0.0018975332068311196
0	0	3	3	3	4	5	0.0018975332068311196
1	1	1	1	3	3	5	0.0018975332068311196
0	0	2	2	4	4	4	0.0015180265654648956
1	2	2	2	2	3	4	0.0015180265654648956
0	0	0	0	1	4	4	0.0015180265654648956
1	1	1	3	3	4	4	0.0015180265654648956
0	0	0	0	1	2	4	0.0015180265654648956
1	1	1	1	3	4	4	0.0015180265654648956
2	2	2	3	3	3	3	0.0011385199240986717
0	2	3	3	3	3	3	0.0011385199240986717
0	1	1	1	1	2	3	0.0011385199240986717
0	1	1	4	4	4	3	0.0011385199240986717
1	1	2	2	2	2	3	0.0011385199240986717
